model,sampler,subnet,problem,c2st,std,c2st_median,c2st_mad,time,time_std
flow_matching,ode-tsit5-adaptive,time_mlp,gaussian_mixture,0.5401799976825714,0.0090128100279498,0.5367499887943268,0.0066500008106231,8.351522161625326,0.0371887015731224
flow_matching_edm,ode-tsit5-adaptive,time_mlp,gaussian_mixture,0.5419950008392334,0.0077991537082313,0.5434499979019165,0.0037250220775604,8.427381581719965,0.0133366608323364
stable_consistency_model,ode-euler,time_mlp,gaussian_mixture,0.5811450004577636,0.0122436725215089,0.5835750102996826,0.0075750052928924,0.7092717504128814,0.750347245381562
consistency_model,ode-euler,time_mlp,lotka_volterra,0.7459549963474273,0.102347532849718,0.7055749893188477,0.0462499856948852,0.4343321867287159,0.4397202788303838
cot_flow_matching,ode-rk45-adaptive,time_mlp,lotka_volterra,0.6905350029468537,0.0892801649350805,0.6597999930381775,0.0380500257015228,8.594466485083103,0.6732321477683737
diffusion_cosine_F,ode-tsit5-adaptive,time_mlp,lotka_volterra,0.7313500046730042,0.0687344705680934,0.7021250128746033,0.0313000082969665,10.229575502313674,0.126078587826787
diffusion_cosine_noise,sde-two_step-adaptive,time_mlp,lotka_volterra,0.7194799900054931,0.1024094494643613,0.6945749819278717,0.0438250005245208,11.298772735334932,0.480160903343493
diffusion_cosine_v,ode-rk45-adaptive,time_mlp,lotka_volterra,0.7400900006294251,0.0953723818279839,0.7046500146389008,0.0500749945640563,10.002932502515614,0.7346752322644056
diffusion_edm_ve,sde-two_step-adaptive,time_mlp,lotka_volterra,0.7200100004673005,0.0789714366847987,0.7159500122070312,0.0408249795436859,7.623272626567632,0.3780981375192215
diffusion_edm_vp,sde-two_step-adaptive,time_mlp,lotka_volterra,0.7132849991321564,0.0947858620651257,0.6732999980449677,0.0452750027179718,9.653592428006233,0.3679495884186896
diffusion_edm_vp_ema,sde-two_step-adaptive,time_mlp,lotka_volterra,0.700929993391037,0.085963405648435,0.6601249873638153,0.0314750075340271,9.40630215248093,0.3357061019983422
flow_matching,ode-tsit5-adaptive,time_mlp,lotka_volterra,0.7084249973297119,0.1025968476007227,0.6794500052928925,0.0513499975204467,8.319042634777725,0.044575044663597
flow_matching_edm,ode-tsit5-adaptive,time_mlp,lotka_volterra,0.6845650017261505,0.093414665227296,0.6629500091075897,0.0614999830722808,8.66552822077647,0.1860929385952031
stable_consistency_model,ode-euler,time_mlp,lotka_volterra,0.7618799984455109,0.0648695228082858,0.7435500025749207,0.0336500108242034,0.6952552417293191,0.7101784254589052
consistency_model,ode-euler,time_mlp,sir,0.5599199950695037,0.0188179849483352,0.5570499897003174,0.0157249867916107,0.4389606344513595,0.4454857915439238
cot_flow_matching,ode-rk45-adaptive,time_mlp,sir,0.5734200060367585,0.0544666357928278,0.5545249879360199,0.0278749763965606,9.078960483241826,0.6051063946975517
diffusion_cosine_F,ode-tsit5-adaptive,time_mlp,sir,0.542535001039505,0.0170254115180538,0.5359750092029572,0.0119499862194061,10.095228904951364,0.0148480202485075
diffusion_cosine_noise,sde-two_step-adaptive,time_mlp,sir,0.5346699953079224,0.0166555144639386,0.5301249921321869,0.0127249956130981,10.717168322764335,0.5432953548037768
